
====================================================================
             Stock Selection & Rejection Explanation Report
====================================================================
Index/File:       microcap250
Strategy Preset:  multibagger
Generated:        2026-07-19 21:28:15 IST
====================================================================

--- SUMMARY ---
Initial pool size:              251 constituents
NSE:TDPOWERSYS   | Low CROIC (1.7% < 6.0% limit)
NSE:TEXRAIL      | Below 200-Day SMA (Downtrend)
NSE:THOMASCOOK   | Below 200-Day SMA (Downtrend)
NSE:TI           | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:TIMETECHNO   | Low CROIC (-2.8% < 6.0% limit)
NSE:TIPSMUSIC    | CapEx YoY reinvestment growth limit exceeded (reinvest multiplier: 2.00)
NSE:TMB          | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:TRANSRAILL   | Below 200-Day SMA (Downtrend)
NSE:TRIVENI      | Low Capital Efficiency (ROCE < 12.0%)
NSE:TSFINV       | Low promoter stake (0.0% < 25.0% limit)
NSE:TVSSCS       | Low Capital Efficiency (ROCE < 12.0%)
NSE:UJJIVANSFB   | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:UTLSOLAR     | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:V2RETAIL     | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:VAIBHAVGBL   | Operational Criteria failed: only 1/3 criteria met (Sales Acceleration: false, Asset Turnover expansion: false, DSO improvement: true)
NSE:VARROC       | Low CROIC (2.5% < 6.0% limit)
NSE:VGUARD       | Below 200-Day SMA (Downtrend)
NSE:VIKRAMSOLR   | Below 200-Day SMA (Downtrend)
NSE:VIPIND       | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)
NSE:VIYASH       | Low Capital Efficiency (ROCE < 12.0%)
NSE:VMART        | Operational Criteria failed: only 1/3 criteria met (Sales Acceleration: true, Asset Turnover expansion: false, DSO improvement: false)
NSE:VOLTAMP      | Low CROIC (0.9% < 6.0% limit)
NSE:WAKEFIT      | Low Capital Efficiency (ROCE < 12.0%)
NSE:WEBELSOLAR   | CapEx YoY reinvestment growth limit exceeded (reinvest multiplier: 2.00)
NSE:WELENT       | Low CROIC (1.5% < 6.0% limit)
NSE:WESTLIFE     | Below 200-Day SMA (Downtrend)
NSE:WEWORK       | Low Capital Efficiency (ROCE < 12.0%)
NSE:YATHARTH     | Low Capital Efficiency (ROCE < 12.0%)
NSE:ZAGGLE       | Cash Flow Quality check failed (Operating/Free Cash Flow <= 0, or CFO/PAT ratio low)

Selection explanation report successfully saved to report/microcap250_multibagger/executions/20260719_01_selection_reasons.txt

